"Id","SalePrice"
1461,124250.740185132
1462,181117.938076206
1463,167193.935787529
1464,190050.912065888
1465,207473.284419757
1466,168111.87652667
1467,173944.980153628
1468,153698.440956119
1469,213749.103441587
1470,124284.799077061
1471,191920.266357233
1472,96630.8393205422
1473,82909.1337352196
1474,155669.325851209
1475,114414.578193667
1476,350306.474824235
1477,257325.179288663
1478,275202.862874389
1479,270318.466151966
1480,406381.11000734
1481,309494.007249657
1482,218943.985513872
1483,172684.602742148
1484,177401.401421499
1485,194178.613475307
1486,207485.014622311
1487,286936.340894552
1488,244507.531238856
1489,211278.826040494
1490,212865.928130474
1491,218082.351926194
1492,119604.909505169
1493,182299.918238698
1494,298636.838092509
1495,294814.936672219
1496,230842.181084399
1497,195960.026541267
1498,189773.283164399
1499,178142.689903909
1500,159512.895541861
1501,174492.947891137
1502,169672.336045906
1503,269233.797114471
1504,259129.470881702
1505,233007.36280374
1506,185179.175454131
1507,245203.068746608
1508,196951.034340022
1509,169884.002793327
1510,145273.476692946
1511,149723.544363913
1512,173215.03323792
1513,159773.898504321
1514,140098.505854094
1515,191094.007818955
1516,168868.661850803
1517,175278.760686572
1518,140094.320404573
1519,222121.219703116
1520,137020.959835977
1521,139446.665404492
1522,179992.755723832
1523,113245.148424756
1524,115880.695460997
1525,124116.554896965
1526,94066.817618868
1527,111856.702486006
1528,156276.056601796
1529,145703.091795228
1530,193741.278727271
1531,102076.122109574
1532,95769.03320599
1533,161311.705025458
1534,111627.301194349
1535,148929.318337872
1536,109721.931745284
1537,48532.4017267119
1538,179906.233964453
1539,240399.160605517
1540,110946.421221708
1541,126934.172680736
1542,136766.411534015
1543,188356.629210145
1544,89307.1996962268
1545,110468.926744655
1546,133049.413503497
1547,119934.116322186
1548,139688.976633587
1549,118717.026939182
1550,136267.735186675
1551,128502.068382228
1552,142298.939925144
1553,151682.375322771
1554,120153.260814391
1555,177949.187706968
1556,137543.295418012
1557,110234.540248004
1558,125000.07466846
1559,119819.137197021
1560,145990.696881144
1561,121293.877136796
1562,122649.529176422
1563,111451.730932816
1564,146746.556526366
1565,141022.316773484
1566,256357.775097031
1567,85136.5451428972
1568,243640.168402447
1569,112211.722477212
1570,139808.578736237
1571,96480.365315099
1572,142917.669670938
1573,238008.024651073
1574,130470.935818203
1575,237601.785028387
1576,230257.902428074
1577,184687.775623256
1578,157545.742917089
1579,140083.501046546
1580,184263.658616991
1581,139892.36945369
1582,138077.729495215
1583,282202.436576312
1584,231005.289872109
1585,154144.422021339
1586,39554.9581256983
1587,96454.8075170847
1588,153121.846863625
1589,75672.12532997
1590,128974.991095085
1591,75334.5418282513
1592,126841.343948002
1593,131970.615330308
1594,150229.375857898
1595,135108.679711993
1596,229169.177955023
1597,192651.943472646
1598,210487.593343657
1599,196783.714919729
1600,186464.671097746
1601,44253.3216134069
1602,126751.244497982
1603,91326.2351134067
1604,266234.199357924
1605,250975.886962326
1606,171399.177874209
1607,176563.190341292
1608,219131.316649178
1609,211237.082499876
1610,161313.588335347
1611,140506.292790353
1612,167717.407254498
1613,149766.162888508
1614,116097.207881768
1615,64613.1127101468
1616,56471.4219464239
1617,69403.5069952992
1618,115877.671283253
1619,157705.052813751
1620,187185.936007804
1621,139092.215179745
1622,163121.448886135
1623,283578.324718006
1624,212487.276875249
1625,132839.776481324
1626,173525.032222304
1627,180831.587141176
1628,296775.330405945
1629,182522.324718224
1630,316550.001712288
1631,208509.171644682
1632,240694.882722729
1633,185675.41323949
1634,175014.081983945
1635,175733.239027204
1636,156272.55662478
1637,168189.068357383
1638,204253.711600144
1639,185093.651684041
1640,256734.694449508
1641,190182.516009031
